IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,2,Interpolation,5515130.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,2,Interpolation,4649785
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,2,Interpolation,4170962
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,2,Interpolation,3651803
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,2,Interpolation,2960204.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,2,Interpolation,2367457
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,2,Interpolation,1910684
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,2,Interpolation,1490819.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,2,Interpolation,1099172
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,2,Interpolation,753533.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,2,Interpolation,499867.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,2,Interpolation,347460
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,2,Interpolation,219306
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,2,Interpolation,139439
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,2,Interpolation,74069.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,2,Interpolation,32176
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,2,Interpolation,12320.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,2,Interpolation,2664
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,2,Interpolation,5667536.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,2,Interpolation,4770030
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,2,Interpolation,4206345
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,2,Interpolation,3738290
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,2,Interpolation,3054155
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,2,Interpolation,2445645.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,2,Interpolation,1973871
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,2,Interpolation,1554716.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,2,Interpolation,1161934
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,2,Interpolation,809818.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,2,Interpolation,525374
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,2,Interpolation,373631
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,2,Interpolation,229863
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,2,Interpolation,145794.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,2,Interpolation,79674.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,2,Interpolation,35423
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,2,Interpolation,13704
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,70,2019,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,2,Interpolation,3023
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,3,Projection,5833756
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,3,Projection,4911291.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,3,Projection,4260823.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,3,Projection,3827623.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,3,Projection,3159496.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,3,Projection,2530187.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,3,Projection,2035784
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,3,Projection,1613309.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,3,Projection,1218539.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,3,Projection,856919
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,3,Projection,551596
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,3,Projection,387239.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,3,Projection,237167.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,3,Projection,147385.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,3,Projection,81032
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,3,Projection,35606.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,3,Projection,13252.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,71,2020,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,3,Projection,3178
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,3,Projection,5997370
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,3,Projection,5066124.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,3,Projection,4331448
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,3,Projection,3903874
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,3,Projection,3266368.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,3,Projection,2619555
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,3,Projection,2098506
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,3,Projection,1671148.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,3,Projection,1274422
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,3,Projection,901164
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,3,Projection,583725.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,3,Projection,391948
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,3,Projection,243249.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,3,Projection,147549
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,3,Projection,81856
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,3,Projection,35705.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,3,Projection,12803.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,72,2021,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,3,Projection,3200.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,3,Projection,6161637
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,3,Projection,5233066
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,3,Projection,4420907.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,3,Projection,3966112.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,3,Projection,3374913
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,3,Projection,2714711.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,3,Projection,2165159
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,3,Projection,1729985
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,3,Projection,1329550
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,3,Projection,948084.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,3,Projection,618981
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,3,Projection,401005
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,3,Projection,251719
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,3,Projection,148506
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,3,Projection,82246
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,3,Projection,35746.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,70,95,99,95-99,0,Not applicable,1,Model-based Estimates,3,Projection,12400
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,73,2022,4,Median,3,Both sexes,59,100,null,100+,0,Not applicable,1,Model-based Estimates,3,Projection,3143.5